gene	location	gene_id	filename
LIMK1	7q11.23	3984	LIMK1.htm
MYOD1	11p15.4	4654	MYOD1.htm
IRF4	6p25-p23	3662	IRF4.htm
PAX5	9p13	5079	PAX5.htm
FGF3	11q13	2248	FGF3.htm
SIRT1	10q21.3	23411	SIRT1.htm
STAR	8p11.2	6770	STAR.htm
KRT14	17q21.2	3861	KRT14.htm
AFF1	4q21	4299	MLLT2.htm
CLOCK	4q12	9575	CLOCK.htm
EML4	2p21	27436	EML4.htm
ERBB4	2q33.3-q34	2066	ERBB4.htm
ARHGEF1	19q13.13	9138	ARHGEF1.htm
CXCL9	4q21	4283	CXCL9.htm
MLC1	22q13.33	23209	MLC1.htm
STIL	1p32	6491	SIL.htm
RARS	5q35.1	5917	RARS.htm
CHGA	14q32	1113	CHGA.htm
BECN1	17q21	8678	BECN1.htm
IL1RN	2q14.2	3557	IL1RN.htm
ETV4	17q21	2118	ETV4.htm
MMP13	11q22.3	4322	MMP13.htm
DDR1	6p21.3	780	DDR1.htm
ZFP36	19q13.1	7538	ZFP36.htm
RHOH	4p13	399	ARHH.htm
PBX1	1q23	5087	PBX1.htm
IL15	4q31	3600	IL15.htm
LCK	1p34.3	3932	LCK.htm
IRF1	5q31.1	3659	IRF1.htm
RAG1	11p13	5896	RAG1.htm
PAX8	2q13	7849	PAX8.htm
JUNB	19p13.2	3726	JUNB.htm
GDF15	19p13.11	9518	GDF15.htm
ITGAX	16p11.2	3687	ITGAX.htm
SHC1	1q21	6464	SHC1.htm
PIK3R1	5q13.1	5295	PIK3R1.htm
FYN	6q21	2534	FYN.htm
DLX4	17q21.33	1748	DLX4.htm
IL17A	6p12	3605	IL17A.htm
YY1AP1	1q22	55249	YY1AP1.htm
FBXW7	4q31.3	55294	FBXW7.htm
MC1R	16q24.3	4157	MC1R.htm
AQP3	9p13	360	AQP3.htm
ALDH1A1	9q21.13	216	ALDH1A1.htm
FRZB	2q32.1	2487	FRZB.htm
AKT2	19q13.1-q13.2	208	AKT2.htm
MX1	21q22.3	4599	MX1.htm
APAF1	12q23	317	APAF1.htm
CCM2	7p13	83605	CCM2.htm
TTF1	9q34.13	7270	TTF1.htm
ACPP	3q22.1	55	ACPP.htm
AKR1C1	10p15-p14	1645	AKR1C1.htm
SFRP2	4q31.3	6423	SFRP2.htm
CCDC6	10q21	8030	CCDC6.htm
EEF1E1	6p24.3	9521	EEF1E1.htm
MXD1	2p13-p12	4084	MXD1.htm
PITX1	5q31.1	5307	PITX1.htm
UCHL1	4p14	7345	UCHL1.htm
PYCARD	16p11.2	29108	PYCARD.htm
KLRK1	12p13.2-p12.3	22914	KLRK1.htm
TNFSF13B	13q32-q34	10673	TNFSF13B.htm
TET2	4q24	54790	TET2.htm
EPHX1	1q42.1	2052	EPHX1.htm
FSCN1	7p22	6624	FSCN1.htm
RAG2	11p13	5897	RAG2.htm
NCOR2	12q24	9612	NCOR2.htm
APEX1	14q11.2	328	APEX1.htm
MLLT3	9p22	4300	MLLT3.htm
DHFR	5q11.2-q13.2	1719	DHFR.htm
SHBG	17p13.1	6462	SHBG.htm
LEPR	1p31	3953	LEPR.htm
COMT	22q11.21	1312	COMP.htm
DKK1	10q11.2	22943	DKK1.htm
CTAG1B	Xq28	1485	CTAG.htm
PRKDC	8q11	5591	PRKDC.htm
GZMB	14q11.2	3002	GZMB.htm
BRAP	12q24	8315	BRAP.htm
GUSB	7q21.11	2990	GUSB.htm
SYK	9q22	6850	SYK.htm
MAGEA1	Xq28	4100	MAGEA1.htm
TUBB3	16q24.3	10381	TUBB3.htm
NDRG1	8q24.3	10397	NDRG1.htm
RHOC	1p13.1	389	ARHC.htm
ITGAL	16p11.2	3683	ITGAL.htm
ERCC5	13q33	2073	ERCC5.htm
MXI1	10q24-q25	4601	MXI1.htm
APOE	19q13.2	348	APOE.htm
CCL22	16q13	6367	CCL22.htm
NFKB2	10q24	4791	NFKB2.htm
WNT5A	3p21-p14	7474	WNT5A.htm
WARS	14q32.31	7453	WARS.htm
ROCK1	18q11.1	6093	ROCK1.htm
SSTR2	17q24	6752	SSTR2.htm
PARK2	6q25.2-q27	5071	PARK2.htm
SDHA	5p15	6389	SDHA.htm
GATA3	10p15	2625	GATA3.htm
TNFAIP3	6q23	7128	TNFAIP3.htm
CXCL1	4q21	2919	GRO1.htm
NFATC1	18q23	4772	NFATC1.htm
IGFBP7	4q12	3490	IGFBP7.htm
MAF	16q22-q23	4094	MAF.htm
NCOA4	10q11.2	8031	NCOA4.htm
ZBTB16	11q23.1	7704	ZNF145.htm
CLMP	11q24.1	79827	CLMP.htm
DIABLO	12q24.31	56616	DIABLO.htm
LYN	8q13	4067	LYN.htm
EPHA2	1p36	1969	EPHA2.htm
SOCS3	17q25.3	9021	SOCS3.htm
ITGA6	2q31.1	3655	ITGA6.htm
RAP1A	1p13.3	5906	RAP1A.htm
NRG1	8p12	3084	NRG1.htm
TAP1	6p21.3	6890	TAP1.htm
YBX1	1p34	4904	YBX1.htm
MKL1	22q13	57591	MKL1.htm
IL12A	3q25.33	3592	IL12A.htm
CD9	12p13.3	928	CD9.htm
DKK3	11p15.2	27122	DKK3.htm
PIK3R2	19q13.2-q13.4	5296	PIK3R2.htm
GMNN	6p22.3	51053	GMNN.htm
PDCD4	10q24	27250	PDCD4.htm
M6PR	12p13	4074	M6PR.htm
WWOX	16q23	51741	WWOX.htm
MUM1	19p13.3	84939	MUM1.htm
BCL10	1p22	8915	BCL10.htm
CCND3	6p21	896	CCND3.htm
ZMYND10	3p21.3	51364	ZMYND10.htm
ZEB2	2q22.3	9839	ZEB2.htm
LTBR	12p13	4055	LTBR.htm
NAT1	8p22	9	NAT1.htm
MAP3K1	5q11.2	4214	MAP3K1.htm
SELL	1q23-q25	6402	SELL.htm
CREBBP	16p13.3	1387	CREBBP.htm
ING1	13q34	3621	ING1.htm
IRS1	2q36	3667	IRS1.htm
IL7R	5p13	3575	IL7R.htm
FES	15q26.1	2242	FES.htm
BMP4	14q22-q23	652	BMP4.htm
CCNA2	4q27	890	CCNA2.htm
ELF4	Xq26	2000	ELF4.htm
SMARCA4	19p13.2	6597	SMARCA4.htm
SKI	1p36.33	6497	SKI.htm
ARHGEF5	7q35	7984	ARHGEF5.htm
TNFRSF1A	12p13.2	7132	TNFRSF1A.htm
CD22	19q13.1	933	CD22.htm
LGALS1	22q13.1	3956	LGALS1.htm
BDNF	11p13	627	BDNF.htm
PTPN6	12p13	5777	PTPN6.htm
SRD5A2	2p23	6716	SRD5A2.htm
MARS	12q13.3	4141	MARS.htm
CCR4	3p24	1233	CCR4.htm
MAS1	6q25.3-q26	4142	MAS1.htm
CCL21	9p13	6366	CCL21.htm
XRCC5	2q35	7520	XRCC5.htm
CCR7	17q12-q21.2	1236	CCR7.htm
EDNRB	13q22	1910	EDNRB.htm
TIA1	2p13	7072	TIA1.htm
HPSE	4q21.3	10855	HPSE.htm
NR4A1	12q13	3164	NR4A1.htm
SPINK1	5q32	6690	SPINK1.htm
MTSS1	8p22	9788	MTSS1.htm
TFE3	Xp11.22	7030	TFE3.htm
FOXA1	14q12-q13	3169	FOXA1.htm
CAV2	7q31.1	858	CAV2.htm
SULT1A1	16p12.1	6817	SULT1A1.htm
CADM1	11q23.2	23705	CADM1.htm
KEAP1	19p13.2	9817	KEAP1.htm
CYP11A1	15q23-q24	1583	CYP11A1.htm
TFF3	21q22.3	7033	TFF3.htm
SMAD6	15q22.31	4091	SMAD6.htm
HLA-C	6p21.3	3107	HLA-C.htm
SLC19A1	21q22.3	6573	SLC19A1.htm
HSD11B1	1q32-q41	3290	HSD11B1.htm
MIF	22q11.23	4282	MIF.htm
MUC4	3q29	4585	MUC4.htm
IGF2R	6q26	3482	IGF2R.htm
TRG	7p14	6965	TRG.htm
PARP1	1q41-q42	142	PARP1.htm
AGO2	8q24	27161	EIF2C2.htm
ETV5	3q28	2119	ETV5.htm
LMO2	11p13	4005	LMO2.htm
S100A6	1q21	6277	S100A6.htm
ID2	2p25	3398	ID2.htm
PDCD1	2q37.3	5133	PDCD1.htm
NKX3-1	8p21.2	4824	NKX3-1.htm
IGFBP2	2q35	3485	IGFBP2.htm
HDAC2	6q21	3066	HDAC2.htm
MARCO	2q14.2	8685	MARCO.htm
HHIP	4q28-q32	64399	HHIP.htm
FGF8	10q24	2253	FGF8.htm
TNFRSF11B	8q24	4982	TNFRSF11B.htm
CDC73	1q25	79577	CDC73.htm
TANK	2q24-q31	10010	TANK.htm
NOS3	7q36	4846	NOS3.htm
PMS1	2q31.1	5378	PMS1.htm
IL17C	16q24	27189	IL17C.htm
PKD1	16p13.3	5310	PKD1.htm
EPAS1	2p21-p16	2034	EPAS1.htm
NUP98	11p15.5	4928	NUP98.htm
EPHA1	7q34	2041	EPHA1.htm
CD79B	17q23	974	CD79B.htm
ERCC4	16p13.12	2072	ERCC4.htm
NTRK2	9q22.1	4915	NTRK2.htm
CXCR3	Xq13	2833	CXCR3.htm
E2F4	16q22.1	1874	E2F4.htm
ST14	11q24-q25	6768	ST14.htm
AXL	19q13.1	558	AXL.htm
CYR61	1p22.3	3491	CYR61.htm
POLE	12q24.3	5426	POLE.htm
ADIPOQ	3q27	9370	ADIPOQ.htm
ADAM10	15q22	102	ADAM10.htm
XRCC6	22q13.2	2547	XRCC6.htm
KLF6	10p15	1316	COPEB.htm
CYP24A1	20q13	1591	CYP24A1.htm
HSPA8	11q24.1	3312	HSPA8.htm
CD274	9p24	29126	CD274.htm
MPL	1p34	4352	MPL.htm
BMP2	20p12	650	BMP2.htm
ARNTL	11p15	406	ARNTL.htm
CBFB	16q22.1	865	CBFB.htm
LIFR	5p13-p12	3977	LIFR.htm
VAV1	19p13.2	7409	VAV1.htm
AURKB	17p13.1	9212	AURKB.htm
FMR1	Xq27.3	2332	FMR1.htm
GLI2	2q14	2736	GLI2.htm
CSK	15q24.1	1445	CSK.htm
PAK1	11q13-q14	5058	PAK1.htm
PICALM	11q14	8301	PICALM.htm
BNIP3	10q26.3	664	BNIP3.htm
MEIS1	2p14	4211	MEIS1.htm
MTA1	14q32.3	9112	MTA1.htm
CCL4	17q12	6351	CCL4.htm
MYD88	3p22	4615	MYD88.htm
POU1F1	3p11	5449	POU1F1.htm
GOPC	6q21	57120	GOPC.htm
HIC1	17p13.3	3090	HIC1.htm
NCOR1	17p11.2	9611	NCOR1.htm
RIPK1	6p25.2	8737	RIPK1.htm
MAT1A	10q22	4143	MAT1A.htm
TCL1A	14q32.1	8115	TCL1A.htm
HNF1B	17q12	6928	HNF1B.htm
MRE11A	11q21	4361	MRE11A.htm
PAX7	1p36.13	5081	PAX7.htm
SSX1	Xp11.23	6756	SSX1.htm
HMGB1	13q12	3146	HMGB1.htm
IDO1	8p12-p11	3620	IDO1.htm
RAD50	5q31	10111	RAD50.htm
SOX9	17q24.3	6662	SOX9.htm
LIPA	10q23.2-q23.3	3988	LIPA.htm
HLA-G	6p21.3	3135	HLA-G.htm
CCR5	3p21.31	1234	CCR5.htm
CD27	12p13	939	CD27.htm
CLDN7	17p13.1	1366	CLDN7.htm
MMP8	11q22.3	4317	MMP8.htm
KISS1	1q32	3814	KISS1.htm
HSD17B2	16q24.1-q24.2	3294	HSD17B2.htm
AIFM1	Xq26.1	9131	AIFM1.htm
PCA3	9q21.2	50652	PCA3.htm
HBEGF	5q23	1839	HBEGF.htm
ARHGAP26	5q31	23092	GRAF.htm
FOSL1	11q13	8061	FOSL1.htm
E2F3	6p22	1871	E2F3.htm
PDPK1	16p13.3	5170	PDPK1.htm
TNFRSF9	1p36	3604	TNFRSF9.htm
ANGPTL4	19p13.3	51129	ANGPTL4.htm
NRP1	10p12	8829	NRP1.htm
NOTCH2	1p13-p11	4853	NOTCH2.htm
TRB	7q34	6957	TRB.htm
CTNNA1	5q31.2	1495	CTNNA1.htm
MICA	6p21.33	100507436	MICA.htm
CXCR2	2q35	3579	CXCR2.htm
PEBP1	12q24.23	5037	PEBP1.htm
EXT2	11p12-p11	2132	EXT2.htm
FANCD2	3p26	2177	FANCD2.htm
HRPT2	1q21-q31	3279	HRPT2.htm
ETS2	21q22.2	2114	ETS2.htm
ANGPT2	8p23.1	285	ANGPT2.htm
BUB1	2q14	699	BUB1.htm
JAK3	19p13.1	3718	JAK3.htm
DLC1	8p22	10395	DLC1.htm
TEP1	14q11.2	7011	TEP1.htm
PWAR1	15q11.2	145624	PAR1.htm
CIITA	16p13	4261	CIITA.htm
COL1A1	17q21.33	1277	COL1A1.htm
EXT1	8q24.11	2131	EXT1.htm
RECK	9p13.3	8434	RECK.htm
SLC4A3	2q36	6508	SLC4A3.htm
ALDH2	12q24.2	217	ALDH2.htm
NOTCH3	19p13.2-p13.1	4854	NOTCH3.htm
AXIN2	17q24.1	8313	AXIN2.htm
TGFB2	1q41	7042	TGFB2.htm
STAT6	12q13	6778	STAT6.htm
CYP3A5	7q21.1	1577	CYP3A5.htm
ATP7B	13q14.3	540	ATP7B.htm
FANCC	9q22.3	2176	FANCC.htm
FIP1L1	4q12	81608	FIP1L1.htm
MAP2K4	17p12	6416	MAP2K4.htm
SLC2A3	12p13.3	6515	SLC2A3.htm
MLLT10	10p12	8028	AF10.htm
PALB2	16p12.2	79728	PALB2.htm
MIR126	9q34.3	406913	MIR126.htm
NCKIPSD	3p21	51517	AF3p21.htm
ETV1	7p21.3	2115	ETV1.htm
ARAF	Xp11.4-p11.2	369	ARAF1.htm
KMT2D	12q13.12	8085	MLL2.htm
TNFRSF17	16p13.1	608	TNFRSF17.htm
MLANA	9p24.1	2315	MART1.htm
PAPPA	9q33.2	5069	PAPPA.htm
NCOA1	2p23	8648	NCOA1.htm
NME2	17q21.3	4831	NME2.htm
ATF3	1q32.3	467	ATF3.htm
PRTN3	19p13.3	5657	PRTN3.htm
PER1	17p13.1	5187	PER1.htm
MUC6	11p15.5	4588	MUC6.htm
CLDN1	3q28-q29	9076	CLDN1.htm
ITGA4	2q31.3	3676	ITGA4.htm
BIRC2	11q22	329	BIRC2.htm
ZBTB7A	19p13.3	51341	ZBTB7A.htm
PRDM1	6q21	639	PRDM1.htm
WIF1	12q14.3	11197	WIF1.htm
ABCC3	17q22	8714	ABCC3.htm
FGFR4	5q35.2	2264	FGFR4.htm
PHIP	6q14	55023	PHIP.htm
TLR9	3p21.3	54106	TLR9.htm
MAD2L1	4q27	4085	MAD2L1.htm
IGFBP1	7p12.3	3484	IGFBP1.htm
NUTM1	15q14	256646	C15orf55.htm
MTAP	9p21	4507	MTAP.htm
BLNK	10q23.2-q23.33	29760	BLNK.htm
CD74	5q32	972	CD74.htm
GATA2	3q21.3	2624	GATA2.htm
GPX1	3p21.3	2876	GPX1.htm
XBP1	22q12.1	7494	XBP1.htm
IGL	22q11.2	3535	IGL.htm
MLLT1	19p13.3	4298	MLLT1.htm
NCOA2	8q13.3	10499	NCOA2.htm
CTCF	16q21-q22.3	10664	CTCF.htm
PAX6	11p13	5080	PAX6.htm
CCL3	17q12	6348	CCL3.htm
IL11	19q13.3-q13.4	3589	IL11.htm
TJP1	15q13	7082	TJP1.htm
ARID4A	14q23.1	5926	ARID4A.htm
PTGER4	5p13.1	5734	PTGER4.htm
BCL2L2	14q11.2-q12	599	BCL2L2.htm
IRF9	14q11.2	10379	IRF9.htm
PRDM2	1p36.21	7799	PRDM2.htm
RARB	3p24.2	5915	RARB.htm
CEACAM1	19q13.2	634	CEACAM1.htm
DUSP1	5q34	1843	DUSP1.htm
BRIP1	17q22.2	83990	BRIP1.htm
PSCA	8q24.2	8000	PSCA.htm
GPRC6A	6q22.1	222545	GPRC6A.htm
MBD4	3q21.3	8930	MBD4.htm
MCM7	7q21.3-q22.1	4176	MCM7.htm
ALOX5	10q11.2	240	ALOX5.htm
RALA	7p15-p13	5898	RALA.htm
BAG1	9p12	573	BAG1.htm
GJB2	13q11-q12	2706	GJB2.htm
GALE	1p36-p35	2582	GALE.htm
DLK1	14q32	8788	DLK1.htm
HLA-DPB1	6p21.3	3115	HLA-DPB1.htm
SMARCA2	9p22.3	6595	SMARCA2.htm
MTDH	8q22.1	92140	MTDH.htm
TAP2	6p21.3	6891	TAP2.htm
HDAC3	5q31	8841	HDAC3.htm
FGF7	15q21.2	2252	FGF7.htm
IGK	2p12	50802	IGK.htm
CRP	1q23.2	1401	CRP.htm
SOX10	22q13.1	6663	SOX10.htm
PLA2G2A	1p35	5320	PLA2G2A.htm
CTTN	11q13	2017	CTTN.htm
TLR2	4q32	7097	TLR2.htm
IGFBP4	17q21.2	3487	IGFBP4.htm
POU2F2	19q13.2	5452	POU2F2.htm
HLF	17q22	3131	HLF.htm
TFPI2	7q22	7980	TFPI2.htm
THY1	11q23.3	7070	THY1.htm
ALOX15	17p13.3	246	ALOX15.htm
PELP1	17p13.2	27043	PELP1.htm
CHIA	1p13.2	27159	CHIA.htm
WNT3A	1q42	89780	WNT3A.htm
IKBKE	1q32.1	9641	IKBKE.htm
TPX2	20q11.2	22974	TPX2.htm
RBP1	3q23	5947	RBP1.htm
NTRK3	15q25	4916	NTRK3.htm
MYBL2	20q13.1	4605	MYBL2.htm
PDK1	2q31.1	5163	PDK1.htm
ITGB4	17q25	3691	ITGB4.htm
ASCL1	12q23.2	429	ASCL1.htm
ATF2	2q32	1386	ATF2.htm
ARHGDIB	12p12.3	397	ARHGDIB.htm
AMPH	7p14-p13	273	AMPH.htm
MTRR	5p15.31	4552	MTRR.htm
S100P	4p16	6286	S100P.htm
IL2RG	Xq13.1	3561	IL2RG.htm
CCR6	6q27	1235	CCR6.htm
ACVRL1	12q13.13	94	ACVRL1.htm
TLX1	10q24	3195	TLX1.htm
PTPRF	1p34	5792	PTPRF.htm
HSF1	8q24.3	3297	HSF1.htm
TSHR	14q31	7253	TSHR.htm
BIK	22q13.31	638	BIK.htm
CDT1	16q24.3	81620	CDT1.htm
ROS1	6q22	6098	ROS1.htm
SUZ12	17q11.2	23512	SUZ12.htm
ABCB4	7q21.1	5244	ABCB4.htm
LDHA	11p15.4	3939	LDHA.htm
ATF4	22q13.1	468	ATF4.htm
BCL2A1	15q24.3	597	BCL2A1.htm
CHFR	12q24.33	55743	CHFR.htm
ADAM17	2p25	6868	ADAM17.htm
TNFRSF10C	8p22-p21	8794	TNFRSF10C.htm
MYB	6q22-q23	4602	MYB.htm
SMAD1	4q31	4086	SMAD1.htm
AKR1C3	10p15-p14	8644	AKR1C3.htm
SREBF1	17p11.2	6720	SREBF1.htm
APOB	2p24-p23	338	APOB.htm
MYOG	1q31-q41	4656	MYOG.htm
LYVE1	11p15	10894	LYVE1.htm
SUMO1	2q33	7341	SUMO1.htm
ATM	11q22-q23	472	ATM.htm
CXCL2	4q21	2920	GRO2.htm
SQSTM1	5q35	8878	SQSTM1.htm
MAP2K2	19p13.3	5605	MAP2K2.htm
CRABP1	15q24	1381	CRABP1.htm
CD58	1p13	965	CD58.htm
PIN1	19p13	5300	PIN1.htm
LGR5	12q22-q23	8549	LGR5.htm
CASP4	11q22.2-q22.3	837	CASP4.htm
ABL2	1q25.2	27	ABL2.htm
ATF1	12q13	466	ATF1.htm
RHOB	2p24	388	ARHB.htm
PAX2	10q24	5076	PAX2.htm
PON1	7q21.3	5444	PON1.htm
MSR1	8p22	4481	MSR1.htm
SLC7A5	16q24.3	8140	SLC7A5.htm
MBD2	18q21	8932	MBD2.htm
CCNG1	5q32-q34	900	CCNG1.htm
MN1	22q12.1	4330	MN1.htm
WRN	8p12	7486	WRN.htm
MMP11	22q11.23	4320	MMP11.htm
BARD1	2q34-q35	580	BARD1.htm
SOX11	2p25	6664	SOX11.htm
CALU	7q32.1	813	CALU.htm
RICTOR	5p13.1	253260	RICTOR.htm
AKAP13	15q24-q25	11214	AKAP13.htm
GSTM3	1p13.3	2947	GSTM3.htm
IGFBP5	2q35	3488	IGFBP5.htm
ATRX	Xq21.1	546	ATRX.htm
BMPR1A	10q22.3	657	BMPR1A.htm
FOXP1	3p14.1	27086	FOXP1.htm
NUP214	9q34.1	8021	NUP214.htm
CYP2C9	10q24	1559	CYP2C9.htm
CAPS	19p13.3	828	CAPS.htm
BCAR1	16q23.1	9564	BCAR1.htm
PRAME	22q11.22	23532	PRAME.htm
LCN2	9q34	3934	LCN2.htm
IRS2	13q34	8660	IRS2.htm
MED1	17q12	5469	MED1.htm
COL4A2	13q34	1284	COL4A2.htm
TP53BP1	15q15-q21	7158	TP53BP1.htm
TGFB3	14q24	7043	TGFB3.htm
CCDC26	8q24.21	137196	CCDC26.htm
FURIN	15q26.1	5045	FURIN.htm
MIA	19q13.2	8190	MIA.htm
HPGD	4q34-q35	3248	HPGD.htm
MIR34A	1p36.22	407040	MIR34A.htm
CTSL	9q21.33	1514	CTSL1.htm
WHSC1	4p16.3	7468	WHSC1.htm
IFNG	12q14	3458	IFNG.htm
CCKBR	11p15.4	887	CCKBR.htm
TAGLN	11q23.2	6876	TAGLN.htm
PDPN	1p36.21	10630	PDPN.htm
POU2F1	1q24.2	5451	POU2F1.htm
SLC19A2	1q23.3	10560	SLC19A2.htm
MIR122	18q21.31	406906	MIR122.htm
IBSP	4q21.1	3381	IBSP.htm
CAST	5q15	831	CAST.htm
BUB1B	15q15	701	BUB1B.htm
TPD52	8q21.13	7163	TPD52.htm
EFNB2	13q33	1948	EFNB2.htm
YES1	18p11.31-p11.21	7525	YES1.htm
SMAD7	18q21.1	4092	SMAD7.htm
CCR2	3p21.31	729230	CCR2.htm
KLF5	13q22.1	688	KLF5.htm
NFIB	9p24.1	4781	NFIB.htm
PLAG1	8q12	5324	PLAG1.htm
TLR3	4q35	7098	TLR3.htm
NOTCH4	6p21.3	4855	NOTCH4.htm
TIMP2	17q25	7077	TIMP2.htm
CCL20	2q36.3	6364	CCL20.htm
HERPUD1	16q13	9709	HERPUD1.htm
HNRNPA2B1	7p15	3181	HNRNPA2B1.htm
TRIM27	6p22	5987	TRIM27.htm
CYP2A6	19q13.2	1548	CYP2A6.htm
HINT1	5q31.2	3094	HINT1.htm
STAT2	12q13.3	6773	STAT2.htm
SCGB2A2	11q13	4250	SCGB2A2.htm
CDX1	5q32	1044	CDX1.htm
HDAC6	Xp11.23	10013	HDAC6.htm
WNT2	7q31.2	7472	WNT2.htm
FOXA2	20p11	3170	FOXA2.htm
CKS1B	1q21.2	1163	CKS1B.htm
IL13RA1	Xq24	3597	IL13RA1.htm
MIR10B	2q31.1	406903	MIR10B.htm
DMBT1	10q26.13	1755	DMBT1.htm
ERCC6	10q11.23	2074	ERCC6.htm
IL32	16p13.3	9235	IL32.htm
HMMR	5q34	3161	HMMR.htm
PPARD	6p21.2	5467	PPARD.htm
SLC22A18	11p15.5	5002	SLC22A1L.htm
TNFRSF11A	18q22.1	8792	TNFRSF11A.htm
PNN	14q21.1	5411	PNN.htm
CYP2C19	10q24	1557	CYP2C19.htm
CYP11B2	8q21-q22	1585	CYP11B2.htm
ELK1	Xp11.2	2002	ELK1.htm
CEACAM6	19q13.2	4680	CEACAM6.htm
PER2	2q37.3	8864	PER2.htm
CYP11B1	8q21	1584	CYP11B1.htm
TNFRSF10D	8p21	8793	TNFRSF10D.htm
POLH	6p21.1	5429	POLH.htm
MAX	14q23	4149	MAX.htm
SOX4	6p22.3	6659	SOX4.htm
SFRP4	7p14.1	6424	SFRP4.htm
CASP10	2q33-q34	843	CASP10.htm
PTGER2	14q22	5732	PTGER2.htm
KCNJ5	11q24	3762	KCNJ5.htm
BRD4	19p13.1	23476	BRD4.htm
VIM	10p13	7431	VIM.htm
PAWR	12q21	5074	PAWR.htm
BIRC7	20q13.3	79444	BIRC7.htm
FOSL2	2p23.3	2355	FOSL2.htm
SRPX	Xp21.1	8406	SRPX.htm
PLA2G4A	1q25	5321	PLA2G4A.htm
SLCO1B3	12p12	28234	SLCO1B3.htm
KIAA1524	3q13.13	57650	KIAA1524.htm
TACR1	2p12	6869	TACR1.htm
DEK	6p22.3	7913	DEK.htm
ELN	7q11.23	2006	ELN.htm
ABCC5	3q27	10057	ABCC5.htm
MMP12	11q22.3	4321	MMP12.htm
CD63	12q12-q13	967	CD63.htm
ANGPT1	8q23.1	284	ANGPT1.htm
PTP4A3	8q24.3	11156	PTP4A3.htm
GADD45B	19p13.3	4616	GADD45B.htm
SEPT9	17q25	10801	MSF.htm
S100A1	1q21	6271	S100A1.htm
LTB	6p21.3	4050	LTB.htm
PTPRD	9p23-p24.3	5789	PTPRD.htm
ABCC4	13q32	10257	ABCC4.htm
KLK6	19q13.3	5653	KLK6.htm
WNT3	17q21	7473	WNT3.htm
GATA6	18q11.1-q11.2	2627	GATA6.htm
TRAF1	9q33-q34	7185	TRAF1.htm
SMPD1	11p15.4-p15.1	6609	SMPD1.htm
TERF2	16q22.1	7014	TERF2.htm
IRF8	16q24.1	3394	IRF8.htm
MT2A	16q13	4502	MT2A.htm
IFITM1	11p15.5	8519	IFITM1.htm
BAP1	3p21.31-p21.2	8314	BAP1.htm
SDHAF2	11q12.2	54949	SDH5.htm
WAS	Xp11.4-p11.21	7454	WAS.htm
XRCC4	5q14.2	7518	XRCC4.htm
TPT1	13q14	7178	TPT1.htm
RBBP8	18q11.2	5932	RBBP8.htm
EEF1A2	20q13.3	1917	EEF1A2.htm
AIDA	1q41	64853	AIDA.htm
CDC25B	20p13	994	CDC25B.htm
MALL	2q13	7851	MALL.htm
CXCL13	4q21	10563	CXCL13.htm
TRAF3	14q32.32	7187	TRAF3.htm
CD59	11p13	966	CD59.htm
MAD1L1	7p22	8379	MAD1L1.htm
LAMP1	13q34	3916	LAMP1.htm
EPHB2	1p36.1-p35	2048	EPHB2.htm
NEUROG1	5q23-q31	4762	NEUROG1.htm
E2F2	1p36	1870	E2F2.htm
BMP7	20q13	655	BMP7.htm
PRLR	5p13.2	5618	PRLR.htm
PRCC	1q21.1	5546	PRCC.htm
XPO1	2p15	7514	XPO1.htm
EIF3E	8q22-q23	3646	EIF3E.htm
MUC5B	11p15.5	727897	MUC5B.htm
B2M	15q21-q22.2	567	B2M.htm
PGLS	19p13.2	25796	PGLS.htm
RNASEL	1q25	6041	RNASEL.htm
ASPSCR1	17q25.3	79058	ASPSCR1.htm
TIAM1	21q22.11	7074	TIAM1.htm
S100A2	1q21	6273	S100A2.htm
ADCYAP1	18p11	116	ADCYAP1.htm
XRCC2	7q36.1	7516	XRCC2.htm
CDH2	18q11.2	1000	CDH2.htm
CLDN4	7q11.23	1364	CLDN4.htm
CDK9	9q34.1	1025	CDK9.htm
GNAQ	9q21	2776	GNAQ.htm
MDS1	3q26	4197	MDS1.htm
RPL22	1p36.31	6146	RPL22.htm
MAGEA4	Xq28	4103	MAGEA4.htm
TNFRSF1B	1p36.22	7133	TNFRSF1B.htm
EPHB4	7q22	2050	EPHB4.htm
ADH1B	4q23	125	ADH1B.htm
ACTB	7p22	60	ACTB.htm
CD83	6p23	9308	CD83.htm
TRIM33	1p13.1	51592	TRIM33.htm
ZNF217	20q13.2	7764	ZNF217.htm
DAB2	5p13.1	1601	DAB2.htm
HOXB13	17q21.2	10481	HOXB13.htm
MGEA5	10q24.1-q24.3	10724	MGEA5.htm
MCM2	3q21	4171	MCM2.htm
GSTA1	6p12.1	2938	GSTA1.htm
WEE1	11p15.4	7465	WEE1.htm
CASP6	4q25	839	CASP6.htm
IL21	4q26-q27	59067	IL21.htm
BTRC	10q24.32	8945	BTRC.htm
REST	4q12	5978	REST.htm
CCNB2	15q22.2	9133	CCNB2.htm
ITCH	20q11.22	83737	ITCH.htm
TGFBR3	1p33-p32	7049	TGFBR3.htm
VCAN	5q14.3	1462	VCAN.htm
PRDX6	1q25.1	9588	PRDX6.htm
TYK2	19p13.2	7297	TYK2.htm
MIR100	11q24.1	406892	MIR100.htm
CRKL	22q11.21	1399	CRKL.htm
RASSF7	11p15.5	8045	RASSF7.htm
