"Gene_ID","Gene_Symbol","Gene_Info","biotype","chromosome","band","start","end"
"ENSG00000108592","FTSJ3","FtsJ homolog 3 (E. coli)","protein_coding","17","17:q23.3",61896793,61907372
"ENSG00000162613","FUBP1","far upstream element (FUSE) binding protein 1","protein_coding","1","1:p31.1",78409740,78444794
"ENSG00000107164","FUBP3","far upstream element (FUSE) binding protein 3","protein_coding","9","9:q34.11",133454352,133513739
"ENSG00000179163","FUCA1","fucosidase, alpha-L- 1, tissue","protein_coding","1","1:p36.11",24171567,24194784
"ENSG00000001036","FUCA2","fucosidase, alpha-L- 2, plasma","protein_coding","6","6:q24.2",143815948,143832827
"ENSG00000157353","FUK","fucokinase","protein_coding","16","16:q22.1",70488324,70514177
"ENSG00000069509","FUNDC1","FUN14 domain containing 1","protein_coding","X","X:p11.3",44382885,44402247
"ENSG00000165775","FUNDC2","FUN14 domain containing 2","protein_coding","X","X:q28",154254255,154288578
"ENSG00000148803","FUOM","fucose mutarotase","protein_coding","10","10:q26.3",135168658,135171529
"ENSG00000140564","FURIN","furin (paired basic amino acid cleaving enzyme)","protein_coding","15","15:q26.1",91411822,91426688
"ENSG00000089280","FUS","FUS RNA binding protein","protein_coding","16","16:p11.2",31191431,31203127
"ENSG00000174951","FUT1","fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase, H blood group)","protein_coding","19","19:q13.33",49251268,49258647
"ENSG00000172728","FUT10","fucosyltransferase 10 (alpha (1,3) fucosyltransferase)","protein_coding","8","8:p12",33228342,33330940
"ENSG00000196968","FUT11","fucosyltransferase 11 (alpha (1,3) fucosyltransferase)","protein_coding","10","10:q22.2",75532049,75540009
"ENSG00000176920","FUT2","fucosyltransferase 2 (secretor status included)","protein_coding","19","19:q13.33",49199228,49209207
"ENSG00000171124","FUT3","fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group)","protein_coding","19","19:p13.3",5842899,5851485
"ENSG00000196371","FUT4","fucosyltransferase 4 (alpha (1,3) fucosyltransferase, myeloid-specific)","protein_coding","11","11:q21",94277017,94283063
"ENSG00000130383","FUT5","fucosyltransferase 5 (alpha (1,3) fucosyltransferase)","protein_coding","19","19:p13.3",5865837,5903798
"ENSG00000156413","FUT6","fucosyltransferase 6 (alpha (1,3) fucosyltransferase)","protein_coding","19","19:p13.3",5830621,5839742
"ENSG00000180549","FUT7","fucosyltransferase 7 (alpha (1,3) fucosyltransferase)","protein_coding","9","9:q34.3",139924626,139927462
"ENSG00000033170","FUT8","fucosyltransferase 8 (alpha (1,6) fucosyltransferase)","protein_coding","14","14:q23.3",65877310,66210839
"ENSG00000172461","FUT9","fucosyltransferase 9 (alpha (1,3) fucosyltransferase)","protein_coding","6","6:q16.1",96463860,96663488
"ENSG00000010361","FUZ","fuzzy planar cell polarity protein","protein_coding","19","19:q13.33",50310126,50320633
"ENSG00000165060","FXN","frataxin","protein_coding","9","9:q21.11",71650175,71715094
"ENSG00000114416","FXR1","fragile X mental retardation, autosomal homolog 1","protein_coding","3","3:q26.33",180585929,180700541
"ENSG00000129245","FXR2","fragile X mental retardation, autosomal homolog 2","protein_coding","17","17:p13.1",7494548,7518189
"ENSG00000266964","FXYD1","FXYD domain containing ion transport regulator 1","protein_coding","19","19:q13.12",35629712,35634013
"ENSG00000137731","FXYD2","FXYD domain containing ion transport regulator 2","protein_coding","11","11:q23.3",117671559,117699413
"ENSG00000089356","FXYD3","FXYD domain containing ion transport regulator 3","protein_coding","19","19:q13.12",35606732,35615228
"ENSG00000150201","FXYD4","FXYD domain containing ion transport regulator 4","protein_coding","10","10:q11.21",43867090,43871783
"ENSG00000089327","FXYD5","FXYD domain containing ion transport regulator 5","protein_coding","19","19:q13.12",35645633,35660786
"ENSG00000137726","FXYD6","FXYD domain containing ion transport regulator 6","protein_coding","11","11:q23.3",117707693,117748201
"ENSG00000255245","FXYD6-FXYD2","FXYD6-FXYD2 readthrough","protein_coding","11","11:q23.3",117690878,117747382
"ENSG00000221946","FXYD7","FXYD domain containing ion transport regulator 7","protein_coding","19","19:q13.12",35634154,35645204
"ENSG00000082074","FYB","FYN binding protein","protein_coding","5","5:p13.1",39105338,39274630
"ENSG00000163820","FYCO1","FYVE and coiled-coil domain containing 1","protein_coding","3","3:p21.31",45959396,46037316
"ENSG00000010810","FYN","FYN proto-oncogene, Src family tyrosine kinase","protein_coding","6","6:q21",111981535,112194655
"ENSG00000122068","FYTTD1","forty-two-three domain containing 1","protein_coding","3","3:q29",197464050,197514467
"ENSG00000157240","FZD1","frizzled class receptor 1","protein_coding","7","7:q21.13",90893783,90898123
"ENSG00000111432","FZD10","frizzled class receptor 10","protein_coding","12","12:q24.33",130647004,130650285
"ENSG00000180340","FZD2","frizzled class receptor 2","protein_coding","17","17:q21.31",42634925,42636907
"ENSG00000104290","FZD3","frizzled class receptor 3","protein_coding","8","8:p21.1",28351729,28431775
"ENSG00000174804","FZD4","frizzled class receptor 4","protein_coding","11","11:q14.2",86656721,86666433
"ENSG00000163251","FZD5","frizzled class receptor 5","protein_coding","2","2:q33.3",208627310,208634287
"ENSG00000164930","FZD6","frizzled class receptor 6","protein_coding","8","8:q22.3",104310661,104345094
"ENSG00000155760","FZD7","frizzled class receptor 7","protein_coding","2","2:q33.1",202899310,202903160
"ENSG00000177283","FZD8","frizzled class receptor 8","protein_coding","10","10:p11.21",35927177,35930362
"ENSG00000188763","FZD9","frizzled class receptor 9","protein_coding","7","7:q11.23",72848109,72850450
"ENSG00000105325","FZR1","fizzy/cell division cycle 20 related 1 (Drosophila)","protein_coding","19","19:p13.3",3506271,3538328
"ENSG00000123689","G0S2","G0/G1 switch 2","protein_coding","1","1:q32.2",209848765,209849733
"ENSG00000092140","G2E3","G2/M-phase specific E3 ubiquitin protein ligase","protein_coding","14","14:q12",31028329,31089269
"ENSG00000145907","G3BP1","GTPase activating protein (SH3 domain) binding protein 1","protein_coding","5","5:q33.1",151150606,151192346
"ENSG00000138757","G3BP2","GTPase activating protein (SH3 domain) binding protein 2","protein_coding","4","4:q21.1",76567966,76649709
"ENSG00000131482","G6PC","glucose-6-phosphatase, catalytic subunit","protein_coding","17","17:q21.31",41052814,41065386
"ENSG00000152254","G6PC2","glucose-6-phosphatase, catalytic, 2","protein_coding","2","2:q31.1",169757750,169766505
"ENSG00000141349","G6PC3","glucose 6 phosphatase, catalytic, 3","protein_coding","17","17:q21.31",42148103,42153709
"ENSG00000160211","G6PD","glucose-6-phosphate dehydrogenase","protein_coding","X","X:q28",153759606,153775787
"ENSG00000171298","GAA","glucosidase, alpha; acid","protein_coding","17","17:q25.3",78075355,78093678
"ENSG00000109458","GAB1","GRB2-associated binding protein 1","protein_coding","4","4:q31.21",144257915,144395721
"ENSG00000033327","GAB2","GRB2-associated binding protein 2","protein_coding","11","11:q14.1",77926343,78129394
"ENSG00000160219","GAB3","GRB2-associated binding protein 3","protein_coding","X","X:q28",153903529,153979858
"ENSG00000215568","GAB4","GRB2-associated binding protein family, member 4","protein_coding","22","22:q11.1",17442826,17489112
"ENSG00000170296","GABARAP","GABA(A) receptor-associated protein","protein_coding","17","17:p13.1",7143333,7146089
"ENSG00000139112","GABARAPL1","GABA(A) receptor-associated protein like 1","protein_coding","12","12:p13.2",10365057,10375727
"ENSG00000034713","GABARAPL2","GABA(A) receptor-associated protein-like 2","protein_coding","16","16:q23.1",75600249,75611779
"ENSG00000238244","GABARAPL3","GABA(A) receptors associated protein like 3, pseudogene","protein_coding","15","15:q26.1",90890819,90892669
"ENSG00000204681","GABBR1","gamma-aminobutyric acid (GABA) B receptor, 1","protein_coding","6","6:p22.1",29523406,29601753
"ENSG00000136928","GABBR2","gamma-aminobutyric acid (GABA) B receptor, 2","protein_coding","9","9:q22.33",101050391,101471479
"ENSG00000154727","GABPA","GA binding protein transcription factor, alpha subunit 60kDa","protein_coding","21","21:q21.3",27106881,27144771
"ENSG00000104064","GABPB1","GA binding protein transcription factor, beta subunit 1","protein_coding","15","15:q21.2",50569389,50647605
"ENSG00000143458","GABPB2","GA binding protein transcription factor, beta subunit 2","protein_coding","1","1:q21.3",151043054,151098018
"ENSG00000022355","GABRA1","gamma-aminobutyric acid (GABA) A receptor, alpha 1","protein_coding","5","5:q34",161274197,161326975
"ENSG00000151834","GABRA2","gamma-aminobutyric acid (GABA) A receptor, alpha 2","protein_coding","4","4:p12",46250444,46477247
"ENSG00000011677","GABRA3","gamma-aminobutyric acid (GABA) A receptor, alpha 3","protein_coding","X","X:q28",151334706,151619830
"ENSG00000109158","GABRA4","gamma-aminobutyric acid (GABA) A receptor, alpha 4","protein_coding","4","4:p12",46920917,46996424
"ENSG00000186297","GABRA5","gamma-aminobutyric acid (GABA) A receptor, alpha 5","protein_coding","15","15:q12",27111510,27194354
"ENSG00000145863","GABRA6","gamma-aminobutyric acid (GABA) A receptor, alpha 6","protein_coding","5","5:q34",160974069,161129599
"ENSG00000163288","GABRB1","gamma-aminobutyric acid (GABA) A receptor, beta 1","protein_coding","4","4:p12",46995740,47428461
"ENSG00000145864","GABRB2","gamma-aminobutyric acid (GABA) A receptor, beta 2","protein_coding","5","5:q34",160715436,160976050
"ENSG00000166206","GABRB3","gamma-aminobutyric acid (GABA) A receptor, beta 3","protein_coding","15","15:q12",26788693,27184686
"ENSG00000187730","GABRD","gamma-aminobutyric acid (GABA) A receptor, delta","protein_coding","1","1:p36.33",1950780,1962192
"ENSG00000102287","GABRE","gamma-aminobutyric acid (GABA) A receptor, epsilon","protein_coding","X","X:q28",151121596,151143152
"ENSG00000163285","GABRG1","gamma-aminobutyric acid (GABA) A receptor, gamma 1","protein_coding","4","4:p12",46037786,46126098
"ENSG00000113327","GABRG2","gamma-aminobutyric acid (GABA) A receptor, gamma 2","protein_coding","5","5:q34",161494546,161582542
"ENSG00000182256","GABRG3","gamma-aminobutyric acid (GABA) A receptor, gamma 3","protein_coding","15","15:q12",27216429,27778373
"ENSG00000094755","GABRP","gamma-aminobutyric acid (GABA) A receptor, pi","protein_coding","5","5:q35.1",170190354,170241051
"ENSG00000146276","GABRR1","gamma-aminobutyric acid (GABA) A receptor, rho 1","protein_coding","6","6:q15",89887220,89940997
"ENSG00000111886","GABRR2","gamma-aminobutyric acid (GABA) A receptor, rho 2","protein_coding","6","6:q15",89966927,90025018
"ENSG00000128683","GAD1","glutamate decarboxylase 1 (brain, 67kDa)","protein_coding","2","2:q31.1",171669723,171717661
"ENSG00000136750","GAD2","glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)","protein_coding","10","10:p12.1",26505236,26593487
"ENSG00000116717","GADD45A","growth arrest and DNA-damage-inducible, alpha","protein_coding","1","1:p31.3",68150744,68154021
"ENSG00000099860","GADD45B","growth arrest and DNA-damage-inducible, beta","protein_coding","19","19:p13.3",2476120,2478257
"ENSG00000130222","GADD45G","growth arrest and DNA-damage-inducible, gamma","protein_coding","9","9:q22.2",92219928,92221470
"ENSG00000179271","GADD45GIP1","growth arrest and DNA-damage-inducible, gamma interacting protein 1","protein_coding","19","19:p13.2",13064972,13068050
"ENSG00000144644","GADL1","glutamate decarboxylase-like 1","protein_coding","3","3:p24.1",30767692,30936257
"ENSG00000205777","GAGE1","G antigen 1","protein_coding","X","X:p11.23",49363628,49373139
"ENSG00000215274","GAGE10","G antigen 10","protein_coding","X","X:p11.23",49160148,49176323
"ENSG00000236737","GAGE12B","G antigen 12B","protein_coding","X","X:p11.23",49294472,49294588
"ENSG00000237671","GAGE12C","G antigen 12C","protein_coding","X","X:p11.23",49296814,49304141
"ENSG00000227488","GAGE12D","G antigen 12D","protein_coding","X","X:p11.23",49306370,49313697
"ENSG00000216649","GAGE12E","G antigen 12E","protein_coding","X","X:p11.23",49315936,49323252
"ENSG00000236362","GAGE12F","G antigen 12F","protein_coding","X","X:p11.23",49325479,49332808
"ENSG00000215269","GAGE12G","G antigen 12G","protein_coding","X","X:p11.23",49335037,49342357
"ENSG00000224902","GAGE12H","G antigen 12H","protein_coding","X","X:p11.23",49344586,49351904
"ENSG00000224659","GAGE12J","G antigen 12J","protein_coding","X","X:p11.23",49178536,49185863
"ENSG00000189064","GAGE2A","G antigen 2A","protein_coding","X","X:p11.23",49354132,49361430
"ENSG00000178950","GAK","cyclin G associated kinase","protein_coding","4","4:p16.3",843064,926161
"ENSG00000069482","GAL","galanin/GMAP prepropeptide","protein_coding","11","11:q13.3",68451247,68458643
"ENSG00000128242","GAL3ST1","galactose-3-O-sulfotransferase 1","protein_coding","22","22:q12.2",30950622,30970574
"ENSG00000154252","GAL3ST2","galactose-3-O-sulfotransferase 2","protein_coding","2","2:q37.3",242716240,242743623
"ENSG00000175229","GAL3ST3","galactose-3-O-sulfotransferase 3","protein_coding","11","11:q13.1",65809423,65816651
"ENSG00000197093","GAL3ST4","galactose-3-O-sulfotransferase 4","protein_coding","7","7:q22.1",99756867,99766373
"ENSG00000054983","GALC","galactosylceramidase","protein_coding","14","14:q31.3",88304164,88460009
"ENSG00000117308","GALE","UDP-galactose-4-epimerase","protein_coding","1","1:p36.11",24122089,24127271
"ENSG00000108479","GALK1","galactokinase 1","protein_coding","17","17:q25.1",73747675,73761792
"ENSG00000156958","GALK2","galactokinase 2","protein_coding","15","15:q21.1",49447853,49660066
"ENSG00000143891","GALM","galactose mutarotase (aldose 1-epimerase)","protein_coding","2","2:p22.1",38893052,38968379
"ENSG00000141012","GALNS","galactosamine (N-acetyl)-6-sulfatase","protein_coding","16","16:q24.3",88880142,88923378
"ENSG00000141429","GALNT1","polypeptide N-acetylgalactosaminyltransferase 1","protein_coding","18","18:q12.2",33161081,33291798
"ENSG00000164574","GALNT10","polypeptide N-acetylgalactosaminyltransferase 10","protein_coding","5","5:q33.2",153570290,153800544
"ENSG00000178234","GALNT11","polypeptide N-acetylgalactosaminyltransferase 11","protein_coding","7","7:q36.1",151722759,151819425
"ENSG00000119514","GALNT12","polypeptide N-acetylgalactosaminyltransferase 12","protein_coding","9","9:q22.33",101569981,101612363
"ENSG00000144278","GALNT13","polypeptide N-acetylgalactosaminyltransferase 13","protein_coding","2","2:q23.3",154728426,155310361
"ENSG00000158089","GALNT14","polypeptide N-acetylgalactosaminyltransferase 14","protein_coding","2","2:p23.1",31133333,31378068
"ENSG00000131386","GALNT15","polypeptide N-acetylgalactosaminyltransferase 15","protein_coding","3","3:p25.1",16216156,16273499
"ENSG00000100626","GALNT16","polypeptide N-acetylgalactosaminyltransferase 16","protein_coding","14","14:q24.1",69725994,69821183
"ENSG00000110328","GALNT18","polypeptide N-acetylgalactosaminyltransferase 18","protein_coding","11","11:p15.3",11292423,11643552
"ENSG00000143641","GALNT2","polypeptide N-acetylgalactosaminyltransferase 2","protein_coding","1","1:q42.13",230193536,230417870
"ENSG00000115339","GALNT3","polypeptide N-acetylgalactosaminyltransferase 3","protein_coding","2","2:q24.3",166604101,166651192
"ENSG00000257594","GALNT4","polypeptide N-acetylgalactosaminyltransferase 4","protein_coding","12","12:q21.33",89913185,89920039
"ENSG00000136542","GALNT5","polypeptide N-acetylgalactosaminyltransferase 5","protein_coding","2","2:q24.1",158114110,158170723
"ENSG00000139629","GALNT6","polypeptide N-acetylgalactosaminyltransferase 6","protein_coding","12","12:q13.13",51745031,51786651
"ENSG00000109586","GALNT7","polypeptide N-acetylgalactosaminyltransferase 7","protein_coding","4","4:q34.1",174089904,174245118
"ENSG00000130035","GALNT8","polypeptide N-acetylgalactosaminyltransferase 8","protein_coding","12","12:p13.32",4829507,4960277
"ENSG00000182870","GALNT9","polypeptide N-acetylgalactosaminyltransferase 9","protein_coding","12","12:q24.33",132680924,132905935
"ENSG00000106648","GALNTL5","polypeptide N-acetylgalactosaminyltransferase-like 5","protein_coding","7","7:q36.1",151653464,151717019
"ENSG00000174473","GALNTL6","polypeptide N-acetylgalactosaminyltransferase-like 6","protein_coding","4","4:q34.1",172733405,173962710
"ENSG00000197487","GALP","galanin-like peptide","protein_coding","19","19:q13.43",56687389,56697144
"ENSG00000166573","GALR1","galanin receptor 1","protein_coding","18","18:q23",74962505,74980858
"ENSG00000182687","GALR2","galanin receptor 2","protein_coding","17","17:q25.1",74070875,74073622
"ENSG00000128310","GALR3","galanin receptor 3","protein_coding","22","22:q13.1",38219389,38221502
"ENSG00000213930","GALT","galactose-1-phosphate uridylyltransferase","protein_coding","9","9:p13.3",34646642,34657110
"ENSG00000130005","GAMT","guanidinoacetate N-methyltransferase","protein_coding","19","19:p13.3",1397091,1401569
"ENSG00000261609","GAN","gigaxonin","protein_coding","16","16:q23.2",81348557,81424489
"ENSG00000089597","GANAB","glucosidase, alpha; neutral AB","protein_coding","11","11:q12.3",62392298,62414104
"ENSG00000214013","GANC","glucosidase, alpha; neutral C","protein_coding","15","15:q15.1",42565431,42645864
"ENSG00000172020","GAP43","growth associated protein 43","protein_coding","3","3:q13.31",115342171,115440337
"ENSG00000111640","GAPDH","glyceraldehyde-3-phosphate dehydrogenase","protein_coding","12","12:p13.31",6643093,6647537
"ENSG00000105679","GAPDHS","glyceraldehyde-3-phosphate dehydrogenase, spermatogenic","protein_coding","19","19:q13.12",36024314,36036218
"ENSG00000175857","GAPT","GRB2-binding adaptor protein, transmembrane","protein_coding","5","5:q11.2",57787262,57792917
"ENSG00000165219","GAPVD1","GTPase activating protein and VPS9 domains 1","protein_coding","9","9:q33.3",128024073,128129486
"ENSG00000109534","GAR1","GAR1 ribonucleoprotein","protein_coding","4","4:q25",110736666,110745893
"ENSG00000141441","GAREM","GRB2 associated, regulator of MAPK1","protein_coding","18","18:q12.1",29704840,30050447
"ENSG00000157833","GAREML","GRB2 associated, regulator of MAPK1-like","protein_coding","2","2:p23.3",26395960,26412532
"ENSG00000136895","GARNL3","GTPase activating Rap/RanGAP domain-like 3","protein_coding","9","9:q33.3",129986544,130155939
"ENSG00000106105","GARS","glycyl-tRNA synthetase","protein_coding","7","7:p14.3",30634297,30673649
"ENSG00000159131","GART","phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase","protein_coding","21","21:q22.11",34876238,34915797
"ENSG00000180447","GAS1","growth arrest-specific 1","protein_coding","9","9:q21.33",89559279,89562104
"ENSG00000148935","GAS2","growth arrest-specific 2","protein_coding","11","11:p14.3",22647188,22834601
"ENSG00000185340","GAS2L1","growth arrest-specific 2 like 1","protein_coding","22","22:q12.2",29702572,29708774
"ENSG00000139354","GAS2L3","growth arrest-specific 2 like 3","protein_coding","12","12:q23.1",100967461,101022064
"ENSG00000183087","GAS6","growth arrest-specific 6","protein_coding","13","13:q34",114523522,114567046
"ENSG00000007237","GAS7","growth arrest-specific 7","protein_coding","17","17:p13.1",9813926,10101868
"ENSG00000141013","GAS8","growth arrest-specific 8","protein_coding","16","16:q24.3",90086037,90111383
"ENSG00000184502","GAST","gastrin","protein_coding","17","17:q21.2",39868578,39872221
"ENSG00000102145","GATA1","GATA binding protein 1 (globin transcription factor 1)","protein_coding","X","X:p11.23",48644962,48652716
"ENSG00000179348","GATA2","GATA binding protein 2","protein_coding","3","3:q21.3",128198270,128212028
"ENSG00000107485","GATA3","GATA binding protein 3","protein_coding","10","10:p14",8095567,8117161
"ENSG00000136574","GATA4","GATA binding protein 4","protein_coding","8","8:p23.1",11534468,11617511
"ENSG00000130700","GATA5","GATA binding protein 5","protein_coding","20","20:q13.33",61038553,61051026
"ENSG00000141448","GATA6","GATA binding protein 6","protein_coding","18","18:q11.2",19749404,19782491
"ENSG00000157259","GATAD1","GATA zinc finger domain containing 1","protein_coding","7","7:q21.2",92076767,92088150
"ENSG00000167491","GATAD2A","GATA zinc finger domain containing 2A","protein_coding","19","19:p13.11",19496635,19619740
"ENSG00000143614","GATAD2B","GATA zinc finger domain containing 2B","protein_coding","1","1:q21.3",153777201,153895451
"ENSG00000257218","GATC","glutamyl-tRNA(Gln) amidotransferase, subunit C","protein_coding","12","12:q24.31",120884241,120899389
"ENSG00000171766","GATM","glycine amidinotransferase (L-arginine:glycine amidinotransferase)","protein_coding","15","15:q21.1",45653322,45694525
"ENSG00000239521","GATS","GATS, stromal antigen 3 opposite strand","protein_coding","7","7:q22.1",99798283,99869855
"ENSG00000239282","GATSL3","GATS protein-like 3","protein_coding","22","22:q12.2",30681106,30685616
"ENSG00000177628","GBA","glucosidase, beta, acid","protein_coding","1","1:q22",155204243,155214490
"ENSG00000070610","GBA2","glucosidase, beta (bile acid) 2","protein_coding","9","9:p13.3",35736863,35749983
"ENSG00000146729","GBAS","glioblastoma amplified sequence","protein_coding","7","7:p11.2",56019486,56067874
"ENSG00000114480","GBE1","glucan (1,4-alpha-), branching enzyme 1","protein_coding","3","3:p12.2",81538850,81811312
"ENSG00000107862","GBF1","golgi brefeldin A resistant guanine nucleotide exchange factor 1","protein_coding","10","10:q24.32",104005289,104142656
"ENSG00000148288","GBGT1","globoside alpha-1,3-N-acetylgalactosaminyltransferase 1","protein_coding","9","9:q34.2",136028340,136039332
"ENSG00000117228","GBP1","guanylate binding protein 1, interferon-inducible","protein_coding","1","1:p22.2",89518002,89531043
"ENSG00000162645","GBP2","guanylate binding protein 2, interferon-inducible","protein_coding","1","1:p22.2",89571815,89616139
"ENSG00000117226","GBP3","guanylate binding protein 3","protein_coding","1","1:p22.2",89472349,89488577
"ENSG00000162654","GBP4","guanylate binding protein 4","protein_coding","1","1:p22.2",89646831,89664615
"ENSG00000154451","GBP5","guanylate binding protein 5","protein_coding","1","1:p22.2",89724633,89738544
"ENSG00000183347","GBP6","guanylate binding protein family, member 6","protein_coding","1","1:p22.2",89829617,89852020
"ENSG00000213512","GBP7","guanylate binding protein 7","protein_coding","1","1:p22.2",89597434,89641723
"ENSG00000164900","GBX1","gastrulation brain homeobox 1","protein_coding","7","7:q36.1",150845676,150871832
"ENSG00000168505","GBX2","gastrulation brain homeobox 2","protein_coding","2","2:q37.2",237073879,237077012
"ENSG00000145321","GC","group-specific component (vitamin D binding protein)","protein_coding","4","4:q13.3",72607410,72669758
"ENSG00000115271","GCA","grancalcin, EF-hand calcium binding protein","protein_coding","2","2:q24.2",163175350,163228105
"ENSG00000100116","GCAT","glycine C-acetyltransferase","protein_coding","22","22:q13.1",38203912,38213183
"ENSG00000179562","GCC1","GRIP and coiled-coil domain containing 1","protein_coding","7","7:q32.1",127220672,127233665
"ENSG00000135968","GCC2","GRIP and coiled-coil domain containing 2","protein_coding","2","2:q12.3",109065017,109125871
"ENSG00000105607","GCDH","glutaryl-CoA dehydrogenase","protein_coding","19","19:p13.2",13001840,13025021
"ENSG00000005436","GCFC2","GC-rich sequence DNA-binding factor 2","protein_coding","2","2:p12",75879126,75938115
"ENSG00000115263","GCG","glucagon","protein_coding","2","2:q24.2",162999392,163008914
"ENSG00000215644","GCGR","glucagon receptor","protein_coding","17","17:q25.3",79762008,79771889
"ENSG00000131979","GCH1","GTP cyclohydrolase 1","protein_coding","14","14:q22.2",55308726,55369570
"ENSG00000137880","GCHFR","GTP cyclohydrolase I feedback regulator","protein_coding","15","15:q15.1",41056218,41059906
"ENSG00000106633","GCK","glucokinase (hexokinase 4)","protein_coding","7","7:p13",44183872,44237769
"ENSG00000084734","GCKR","glucokinase (hexokinase 4) regulator","protein_coding","2","2:p23.3",27719709,27746554
"ENSG00000001084","GCLC","glutamate-cysteine ligase, catalytic subunit","protein_coding","6","6:p12.1",53362139,53481768
"ENSG00000023909","GCLM","glutamate-cysteine ligase, modifier subunit","protein_coding","1","1:p22.1",94350761,94374966
"ENSG00000137270","GCM1","glial cells missing homolog 1 (Drosophila)","protein_coding","6","6:p12.1",52991762,53013627
"ENSG00000124827","GCM2","glial cells missing homolog 2 (Drosophila)","protein_coding","6","6:p24.2",10873456,10882174
"ENSG00000089154","GCN1L1","GCN1 general control of amino-acid synthesis 1-like 1 (yeast)","protein_coding","12","12:q24.23",120565007,120632513
"ENSG00000187210","GCNT1","glucosaminyl (N-acetyl) transferase 1, core 2","protein_coding","9","9:q21.13",79034752,79122332
"ENSG00000111846","GCNT2","glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)","protein_coding","6","6:p24.3",10492456,10629601
"ENSG00000140297","GCNT3","glucosaminyl (N-acetyl) transferase 3, mucin type","protein_coding","15","15:q22.2",59887074,59932438
"ENSG00000176928","GCNT4","glucosaminyl (N-acetyl) transferase 4, core 2","protein_coding","5","5:q13.3",74323289,74326724
"ENSG00000205318","GCNT6","glucosaminyl (N-acetyl) transferase 6","protein_coding","6","6:p24.2",10633993,10647501
"ENSG00000124091","GCNT7","glucosaminyl (N-acetyl) transferase family member 7","protein_coding","20","20:q13.31",55066548,55100981
"ENSG00000137878","GCOM1","GRINL1A complex locus 1","protein_coding","15","15:q21.3",57884106,58006943
"ENSG00000174500","GCSAM","germinal center-associated, signaling and motility","protein_coding","3","3:q13.2",111839688,111852152
"ENSG00000169224","GCSAML","germinal center-associated, signaling and motility-like","protein_coding","1","1:q44",247670360,247740992
"ENSG00000140905","GCSH","glycine cleavage system protein H (aminomethyl carrier)","protein_coding","16","16:q23.2",81115566,81130008
"ENSG00000119125","GDA","guanine deaminase","protein_coding","9","9:q21.13",74729511,74872109
"ENSG00000104381","GDAP1","ganglioside induced differentiation associated protein 1","protein_coding","8","8:q21.11",75233365,75401107
"ENSG00000124194","GDAP1L1","ganglioside induced differentiation associated protein 1-like 1","protein_coding","20","20:q13.12",42875887,42909013
"ENSG00000196505","GDAP2","ganglioside induced differentiation associated protein 2","protein_coding","1","1:p12",118406107,118472253
"ENSG00000006007","GDE1","glycerophosphodiester phosphodiesterase 1","protein_coding","16","16:p12.3",19513015,19533467
"ENSG00000130283","GDF1","growth differentiation factor 1","protein_coding","19","19:p13.11",18979361,19006905
"ENSG00000135414","GDF11","growth differentiation factor 11","protein_coding","12","12:q13.2",56137064,56150911
"ENSG00000130513","GDF15","growth differentiation factor 15","protein_coding","19","19:p13.11",18485541,18499986
"ENSG00000184344","GDF3","growth differentiation factor 3","protein_coding","12","12:p13.31",7842378,7848372
"ENSG00000125965","GDF5","growth differentiation factor 5","protein_coding","20","20:q11.22",34021145,34042568
"ENSG00000204183","GDF5OS","growth differentiation factor 5 opposite strand","protein_coding","20","20:q11.22",34020827,34023248
"ENSG00000156466","GDF6","growth differentiation factor 6","protein_coding","8","8:q22.1",97154562,97173020
"ENSG00000143869","GDF7","growth differentiation factor 7","protein_coding","2","2:p24.1",20866424,20873418
"ENSG00000164404","GDF9","growth differentiation factor 9","protein_coding","5","5:q31.1",132196873,132202576
"ENSG00000203879","GDI1","GDP dissociation inhibitor 1","protein_coding","X","X:q28",153665266,153671814
"ENSG00000057608","GDI2","GDP dissociation inhibitor 2","protein_coding","10","10:p15.1",5807186,5884095
"ENSG00000168621","GDNF","glial cell derived neurotrophic factor","protein_coding","5","5:p13.2",37812779,37839788
"ENSG00000153982","GDPD1","glycerophosphodiester phosphodiesterase domain containing 1","protein_coding","17","17:q22",57297828,57353328
"ENSG00000130055","GDPD2","glycerophosphodiester phosphodiesterase domain containing 2","protein_coding","X","X:q13.1",69642881,69653240
"ENSG00000102886","GDPD3","glycerophosphodiester phosphodiesterase domain containing 3","protein_coding","16","16:p11.2",30116131,30125177
"ENSG00000178795","GDPD4","glycerophosphodiester phosphodiesterase domain containing 4","protein_coding","11","11:q13.5",76927603,77012732
"ENSG00000158555","GDPD5","glycerophosphodiester phosphodiesterase domain containing 5","protein_coding","11","11:q13.4",75145685,75236948
"ENSG00000183208","GDPGP1","GDP-D-glucose phosphorylase 1","protein_coding","15","15:q26.1",90777040,90785315
"ENSG00000164949","GEM","GTP binding protein overexpressed in skeletal muscle","protein_coding","8","8:q22.1",95261481,95274578
"ENSG00000092208","GEMIN2","gem (nuclear organelle) associated protein 2","protein_coding","14","14:q21.1",39583427,39606177
